Timestamp,Raw Accel X,Raw Accel Y,Raw Accel Z,Raw Gyro X,Raw Gyro Y,Raw Gyro Z
0,213,-79,2027,-141,250,149
1,14,-180,1928,301,-127,647
2,44,-93,1814,1013,-425,484
3,133,507,1868,2043,-234,127
4,182,1373,968,7461,1337,-608
5,42,2012,-208,2609,260,212
6,-192,1210,-1471,4953,-766,738
7,308,998,-1453,2841,1117,-290
8,325,-217,-2279,-723,-2897,1019
9,-16,-472,-2247,943,-503,967
10,210,-248,-2047,-137,-48,209
11,61,-190,-1950,-1452,141,825
12,60,111,-1912,-656,-118,412
13,-39,181,-1872,-410,-51,-150
14,-180,1068,-1614,-4743,227,-1138
15,176,1760,-238,-10365,1550,-1937
16,-45,1477,1531,-12134,624,-525
17,18,224,2236,-3120,-1579,-578
18,132,-1040,2091,-2722,561,-628
19,395,-883,1947,1748,640,562
20,162,-567,1575,610,-318,-75
21,20,-381,1110,687,-991,-327
22,305,-434,2050,-286,731,4
23,250,-408,2202,-291,345,-589
24,518,-1012,2324,2009,-5936,-2119
25,2097,327,651,-400,-6081,-222
26,1182,-70,-580,559,-6346,-621
27,767,176,-1583,979,-805,340
28,-958,535,-1957,-1302,-2566,1420
29,-394,497,-1912,184,525,248
30,-411,267,-1955,-139,551,117
31,-450,451,-1789,-17,616,134
32,-622,750,-1980,1237,644,-121
33,-477,287,-1900,183,283,96
34,-271,314,-1842,13,230,128
35,-362,369,-1855,-12,359,75
36,-382,382,-2264,-155,188,107
37,-245,345,-1841,249,267,88
38,-140,504,-2210,-177,278,52
39,-177,403,-2004,4,12,292
40,-315,390,-1836,12,40,171
41,-335,470,-1964,-178,166,94
42,-337,404,-1837,-66,196,108
43,-401,350,-1648,305,334,201
44,-416,408,-1988,93,141,100
45,-61,380,-2182,-24,306,78
46,-301,439,-2241,-113,278,20
47,-418,385,-2053,121,323,116
48,-263,349,-2018,-10,204,110
49,-348,334,-1959,-17,207,69
50,-365,27,-2039,4,341,53
51,-302,314,-1978,25,323,109
52,-298,503,-1904,-6,212,82
53,-487,269,-1959,-43,303,36
54,-374,309,-1563,113,94,182
55,-226,315,-2016,-48,247,83
56,-240,407,-1999,-74,179,117
57,-356,298,-2138,26,101,85
58,-276,48,-1890,63,136,102
59,-177,12,-1832,95,108,98
60,-284,273,-1975,-177,45,53
61,-332,292,-1880,-16,126,102
62,-511,487,-2009,-2,348,115
63,-356,261,-1802,-41,187,41
64,-167,433,-2117,-63,42,15
65,-116,277,-2224,2,164,127
66,-269,351,-1984,-53,89,70
67,-150,346,-2224,-55,169,67
68,-371,405,-1986,-77,176,78
69,-278,448,-2033,-15,174,76
70,-257,342,-1994,9,183,78
71,-362,394,-2000,-60,169,90
72,-40,393,-1856,73,131,44
73,-239,371,-2006,-71,8,32
74,-271,453,-2122,92,179,83
75,-284,50,-2248,-122,133,148
76,-197,351,-1912,-35,266,70
77,-440,421,-1964,5,165,79
78,-352,366,-1879,-67,268,77
79,-207,393,-1798,-76,133,64
80,-201,382,-1910,101,85,118
81,-507,404,-1961,36,275,108
82,-314,368,-1918,-19,151,48
83,-331,371,-2068,42,181,71
84,-26,357,-1978,-23,137,49
85,-153,383,-2079,-42,182,25
86,-223,311,-1982,58,183,69
87,-124,361,-1992,30,184,70
88,-424,-144,-1679,1,198,172
89,-510,316,-1971,-11,90,43
90,-209,425,-1988,46,181,68
91,-206,440,-1854,39,169,53
92,-183,349,-2072,14,109,66
93,-4,329,-2107,-35,44,64
94,-143,330,-1892,14,163,15
95,-172,322,-1980,-21,72,48
96,-4,267,-1980,79,202,22
97,-60,410,-1822,-58,71,68
98,-185,299,-2022,-50,109,23
99,-200,366,-1949,-50,119,72
