0,-1568,1030,630,-1,-2,1
1,-1592,1061,538,1,253,1
2,-1345,825,666,-2,3,-2
3,-1341,1090,648,3,-7,-1
4,-1786,1275,612,2,-4,-3
5,-1788,788,546,645,152,50
6,-2560,2642,556,-197,940,-1057
7,-757,671,-609,51,-5485,3031
8,-337,2436,661,-325,-4117,1992
9,563,2037,712,-1472,-3307,3570
10,1384,-21,1578,1445,3353,4902
11,355,1115,2184,-49,3009,850
12,290,141,2439,-784,1291,-39
13,171,-50,2181,800,97,201
14,371,568,2286,9,-560,221
15,122,669,3680,3335,7890,492
16,344,303,2194,-184,-794,-631
17,100,255,2263,-119,-1081,60
18,425,-250,2223,-14,439,213
19,248,15,1987,89,158,-378
20,373,-490,2203,-614,-171,-44
21,1279,-1329,1459,-8527,-3968,-393
22,692,-1188,-1133,-7259,-3761,-648
23,754,-782,-2148,-3175,-1801,1144
24,181,1,-1715,-2521,661,1086
25,190,436,-1382,-717,390,686
26,219,668,-1200,348,948,1425
27,306,316,-1784,279,118,317
28,89,767,-1766,-180,127,-289
29,103,594,-1641,-59,594,-11
30,170,372,-1301,254,432,-74
31,445,57,-1323,2851,1403,-1137
32,313,-458,-3090,3971,4653,1271
33,53,-1635,684,15542,-3696,2
34,608,-687,1954,4084,-958,-312
35,468,-972,1946,1395,175,347
36,291,-370,2235,500,1298,234
37,142,-367,1934,203,522,-236
38,-100,-296,2099,-79,100,-129
39,-9,-223,1997,204,-69,-57
40,-56,-161,2095,137,97,-115
41,-83,-160,1811,72,391,-141
42,-167,-8,2236,2934,540,332
43,-362,101,1875,-996,126,-369
44,-373,-17,1869,20,-383,-4
45,-348,-183,1805,-322,-227,-99
46,-240,-718,2080,94,-464,-303
47,-250,-406,2034,98,-165,-236
48,-117,-404,1932,49,-349,-285
49,-29,-391,1849,299,-423,-171
50,-246,-474,1945,239,-103,-90
51,-203,-365,1935,159,-145,-154
52,245,-751,2003,-30,101,-100
53,83,-446,1958,-126,-4,-192
54,-200,-439,1826,48,79,-39
55,-7,-573,1960,-38,191,-73
56,-64,-607,1820,-73,-17,-70
57,-46,-483,2259,260,74,-219
58,-76,-439,1910,311,-66,-74
59,-178,-471,2013,-150,32,-64
60,78,-402,2123,14,-182,-129
61,-204,-318,1923,-198,109,-573
62,95,-500,2038,910,-36,-370
63,28,-138,2063,508,-180,-214
64,157,-38,2126,4,-174,-60
65,104,-88,1930,-303,102,-221
66,31,-456,1804,238,215,-143
67,80,-140,1907,21,-19,-135
68,103,-125,2132,12,144,-170
69,226,-121,2082,-90,4,-80
70,238,-221,2052,540,-250,-357
71,51,-158,2208,-590,-284,628
72,52,-312,2208,140,-61,-73
73,31,-246,1804,-134,74,-86
74,117,-48,1809,-127,-11,-40
75,55,-281,1976,-149,61,-79
76,188,-345,2023,-113,-15,-21
77,86,-343,2297,17,25,-92
78,94,-442,1941,118,30,-69
79,64,-354,2163,-32,-22,-25
80,22,-453,1919,14,12,-100
81,89,-302,1962,-12,10,-89
82,70,-326,1986,-33,36,-67
83,-125,-302,1962,95,-6,-51
84,67,-354,1929,-27,45,-70
85,67,-419,2015,-103,-46,-74
86,43,-323,2279,13,48,-40
87,-242,-359,1897,-116,29,15
88,13,-458,2242,-9,5,-97
89,-255,-301,1816,-73,-88,-90
90,223,-423,2296,-4,-17,-63
91,59,-418,2031,-46,-2,-86
92,80,-349,1812,168,2,-98
93,11,-342,1865,-31,23,-76
94,4,-376,2006,37,-5,-69
95,16,-329,1965,61,-23,-95
96,-159,-358,1985,13,-32,-74
97,40,-369,1983,26,-20,-77
98,68,-352,1993,41,36,-91
99,55,-368,2292,-254,63,37
