   0.001    0.000    0.000     0.075    0.041   -1.202     0.381   -0.482    0.708
   0.422    0.205    0.173     0.022    0.270   -1.183     0.417   -0.482    0.708
   2.448    0.922    0.489     0.012   -0.128   -1.088     0.417   -0.482    0.708
   4.217    1.487    0.651     0.035    0.056   -1.128     0.417   -0.482    0.708
   6.274    2.074    1.715    -0.012   -0.295   -0.861     0.417   -0.482    0.708
   7.454    2.554    0.739     0.021    0.196   -1.034     0.417   -0.482    0.708
   8.397    3.104    0.593     0.055   -0.446   -1.106     0.367   -0.082    0.852
   8.404    4.045   -0.718     0.195   -0.274   -1.156     0.367   -0.082    0.852
   8.230    5.493   -2.285     0.236   -0.140   -1.072     0.367   -0.082    0.852
   9.030    6.906   -3.140     0.083   -0.309   -0.844     0.367   -0.082    0.852
   9.790    8.342   -4.073     0.064   -0.477   -0.809     0.367   -0.082    0.852
   9.503    9.494   -5.724     0.142   -0.432   -0.847     0.315    0.229    0.844
   9.479   10.684   -6.917     0.197   -0.556   -0.905     0.315    0.229    0.844
   9.787   11.910   -8.117     0.122   -0.456   -0.678     0.315    0.229    0.844
  10.735   12.981   -9.666     0.023   -0.501   -0.561     0.315    0.229    0.844
  11.613   13.630  -11.606     0.098   -0.730   -0.687     0.315    0.229    0.844
  11.535   13.883  -13.918     0.202   -0.727   -0.768     0.255    0.427    0.790
  11.371   14.586  -15.852     0.206   -0.635   -0.606     0.255    0.427    0.790
  10.497   15.296  -19.456    -0.503    0.328   -1.688     0.255    0.427    0.790
  10.441   24.812  -20.568     0.126   -0.821   -0.575     0.255    0.427    0.790
  10.316   28.507  -22.882     0.457   -0.951   -0.634     0.255    0.427    0.790
  10.037   28.590  -25.154     0.498   -0.892   -0.688     0.048    0.568    0.792
  11.479   25.846  -26.517     0.242   -0.627   -0.546     0.048    0.568    0.792
  13.901   24.469  -28.052     0.188   -0.719   -0.623     0.048    0.568    0.792
  15.769   25.020  -30.265     0.205   -0.856   -0.379     0.048    0.568    0.792
  16.980   25.766  -32.883     0.190   -0.771   -0.492     0.048    0.568    0.792
  16.729   26.387  -35.322     0.273   -0.833   -0.766     0.162    0.578    0.740
  16.257   27.536  -39.964     0.322   -0.832   -1.064     0.162    0.578    0.740
  17.510   28.939  -41.472     0.141   -0.749   -0.422     0.162    0.578    0.740
  19.014   30.466  -42.771     0.151   -0.790   -0.397     0.162    0.578    0.740
  19.950   32.164  -43.746     0.243   -0.796   -0.486     0.162    0.578    0.740
  20.588   34.041  -40.436     0.308   -0.885   -0.422     0.105    0.718    0.698
  21.698   35.598  -33.748     0.188   -1.022   -0.429     0.105    0.718    0.698
  26.051   36.978  -26.669    -0.328   -0.953   -0.204     0.105    0.718    0.698
  30.898   38.210  -19.985     0.101   -0.932    0.002     0.105    0.718    0.698
  35.664   38.405  -14.143    -0.007   -0.883   -0.012     0.105    0.718    0.698
  39.572   38.833   -9.533     0.073   -0.940    0.214     0.247    0.945    0.230
  42.999   39.978   -5.598    -0.005   -1.061    0.275     0.247    0.945    0.230
  46.976   40.370   -0.912    -0.076   -0.979    0.451     0.247    0.945    0.230
