Timestamp,Raw Accel X,Raw Accel Y,Raw Accel Z,Raw Gyro X,Raw Gyro Y,Raw Gyro Z,JScore X,JScore Y,JScore Z,JScore Total,Jerk X,Jerk Y,Jerk Z
"2020-03-31,13:33",-767,194,1951,3,1,-1,193.66673882128634,207.41302524432564,184.33063342872777,195.13679916477992,19.366673882128634,20.741302524432562,18.433063342872778,19.366673882128634,20.741302524432562,18.433063342872778
"2020-03-31,13:33",-439,104,1987,0,-2,1,1737.420775508656,1860.4825545997114,1659.158539877837,1752.3539566620682,19.92466127042072,21.364769784354518,18.414779440944073,173.74207755086562,186.04825545997113,165.9158539877837
"2020-03-31,13:33",-262,109,1956,0,-3,-1,8584.899796644606,9195.823708992224,8203.64018022468,8661.454561953837,20.440816179734792,21.317812801266747,18.430503832901127,1716.9799593289213,1839.1647417984448,1640.7280360449358
"2020-03-31,13:33",-466,95,1892,-1,-5,0,28550.11607198412,30581.2280840011,27283.921364302656,28805.088506762626,19.864975049370244,21.45528379189535,18.463770933884067,8565.034821595236,9174.36842520033,8185.176409290796
"2020-03-31,13:33",-751,138,1978,-3,1,1,71326.82079238098,76400.36544250691,68163.75511282835,71963.64711590542,19.387755031731757,21.081906998338685,18.419319171313234,28530.72831695239,30560.146177002764,27265.502045131343
"2020-03-31,13:33",-493,143,1860,-2,3,3,142614.02428174307,152758.63825290735,136290.54856782313,143887.73703415785,19.8086515094532,21.046316053235984,18.480828916788642,71307.01214087153,76379.31912645367,68145.27428391157
"2020-03-31,13:33",-766,102,1844,-1,-1,2,237657.76050538218,254562.0901083952,227120.09849923957,239779.98303767233,19.3679785137553,21.38418787021162,18.489468279379352,142594.6563032293,152737.25406503712,136272.05909954375
"2020-03-31,13:33",-715,40,1944,-1,-3,-2,339483.3194674877,363628.24261023686,324430.94548791583,342514.1691885468,19.436878140801884,22.320281229381955,18.436657698475507,237638.32362724136,254539.76982716582,227101.6618415411
"2020-03-31,13:33",-489,128,1894,0,1,-1,424329.3783366171,454508.85684977163,405515.6034668826,428117.9462177571,19.81679819402102,21.157130419576273,18.462714409749868,339463.50266929367,363607.0854798173,324412.4827735061
"2020-03-31,13:33",-257,142,1906,2,-7,-3,471454.3536133538,504986.4483512731,450552.38563142595,475664.39586535096,20.46008459860067,21.05333362589463,18.456398599281744,424308.91825201845,454487.80351614574,405497.14706828335
"2020-03-31,13:33",-463,98,1985,0,1,-2,471434.4821797244,504965.02415806823,450533.9698449356,475644.4920609094,19.87143362940966,21.42419320482532,18.4157864903746,471434.4821797244,504965.02415806823,450533.9698449356
"2020-03-31,13:33",-281,207,1945,0,4,2,428558.28306700924,459040.3161056164,409559.5760922801,432386.05842163524,20.370806014162145,20.67644189023052,18.436143427443344,471414.1113737102,504944.347716178,450515.53370150813
"2020-03-31,13:33",-478,116,1872,0,-2,-1,357115.3695975485,382515.88377927,341284.251411878,360305.1682628988,19.839549951004436,21.255570492389527,18.474398026458353,428538.4435170582,459019.060535124,409541.1016942536
"2020-03-31,13:33",-306,149,1941,-1,0,0,274688.5261707438,294226.8296653019,262512.1640075213,277142.5066145223,20.285575581543508,21.00521437755043,18.43820210032688,357095.08402196696,382494.87856489245,341265.81320977764
"2020-03-31,13:33",-733,163,1885,-1,-1,0,196192.224396973,210147.08161058516,187495.49752138407,197944.9345096474,19.41201498160924,20.91541048268913,18.46747758361378,274669.1141557622,294205.9142548192,262493.6965299377
"2020-03-31,13:33",-751,123,2037,0,252,6,130781.89109462751,140083.9230895047,124984.73839607787,131950.18419340337,19.387755031731757,21.196976328123473,18.389927267269083,196172.83664194128,210125.88463425703,187477.1075941168
"2020-03-31,13:33",-351,116,1943,0,1,-1,81726.08920010467,87539.1671993827,78103.93826490235,82456.39822146324,20.148374460030023,21.255570492389527,18.43717223411845,130761.74272016749,140062.66751901232,124966.30122384375
"2020-03-31,13:33",-473,156,2028,0,1,0,48062.49360871158,51481.298761592036,45932.67288799033,48492.155086097984,19.850065295003958,20.959304676246354,18.394355318784818,81706.23913480967,87518.20789470646,78085.54390958356
"2020-03-31,13:33",-695,141,1856,1,-4,-2,26690.571311040916,28589.021311554952,25507.883281233437,26929.15863460977,19.4652488379311,21.060400793117722,18.482981770149745,48043.02835987365,51460.23836079892,45914.189906220185
"2020-03-31,13:33",-502,34,1918,0,253,0,14037.253026566901,15035.020269155828,13415.491136213359,14162.588143978695,19.79056056380416,22.48280015887973,18.450122428052506,26670.78075047711,28566.538511396073,25489.433158805383
"2020-03-31,13:33",-671,92,1866,1,-1,0,7008.8763175101885,7506.7664485246905,6698.506763955636,7071.383176663505,19.50039154652421,21.487372106446852,18.4776083020886,14017.752635020377,15013.532897049381,13397.013527911271
"2020-03-31,13:33",-723,126,1855,1,-255,2,3328.309793356596,3564.5683665467363,3180.9634491653246,3357.947203022886,19.425751461337125,21.17287877654441,18.483520708454353,6989.450566048851,7485.593569748146,6680.023243247182
"2020-03-31,13:33",-455,192,1953,-3,5,4,1503.8276954963867,1610.8257732887582,1437.5142774603207,1517.3892487484886,19.88886326454494,20.75166531146811,18.432038752619214,3308.420930092051,3543.8167012352683,3162.5314104127056
"2020-03-31,13:33",-290,187,1960,-1,-1,0,644.9949633634224,691.3250961835291,616.9938332734998,651.1046309401504,20.33927976051537,20.778052066641305,18.428460931271328,1483.4884157358713,1590.047721222117,1419.0858165290495
"2020-03-31,13:33",-502,132,1946,1,-5,-1,260.5018344998409,279.2494739260915,249.39925160531246,263.0501866770816,19.79056056380416,21.12635876090952,18.43562942074994,625.2044027996182,670.1987374226196,598.5582038527499
