 180.000  180.000 -180.000     0.031   -0.198    1.012    -0.060    0.403   -0.852
   0.013    0.065    0.076     0.022   -0.236    0.976    -0.057    0.401   -0.859
 179.985  179.756 -179.773     0.024   -0.216    0.992    -0.057    0.401   -0.859
 179.968  179.482 -179.485     0.038   -0.234    0.963    -0.057    0.401   -0.859
   0.006    0.798    0.840     0.047   -0.252    1.011    -0.057    0.401   -0.859
   0.080    1.126    1.224     0.043   -0.272    0.961    -0.057    0.401   -0.859
   0.159    1.455    1.556     0.031   -0.249    0.969    -0.059    0.399   -0.852
   0.172    1.790    1.929     0.038   -0.225    0.970    -0.059    0.399   -0.852
   0.202    2.215    2.344     0.040   -0.253    0.985    -0.059    0.399   -0.852
   0.295    2.605    2.790     0.012   -0.312    0.962    -0.059    0.399   -0.852
   0.481    2.797    3.560     0.007   -0.357    0.887    -0.059    0.399   -0.852
   0.468    3.229    4.511     0.072   -0.223    0.888    -0.064    0.370   -0.871
   0.463    3.813    5.551     0.086   -0.197    0.961    -0.064    0.370   -0.871
   0.580    4.284    7.041     0.099   -0.227    0.954    -0.064    0.370   -0.871
   0.726    4.837    8.312     0.173   -0.181    0.884    -0.064    0.370   -0.871
   0.664    5.226    9.531     0.116   -0.321    0.948    -0.064    0.370   -0.871
   0.532    5.882   10.115     0.117   -0.132    1.078    -0.068    0.334   -0.863
   0.298    6.188   10.486     0.153   -0.136    1.133    -0.068    0.334   -0.863
   0.474    6.642   10.686     0.196   -0.168    1.119    -0.068    0.334   -0.863
   0.553    7.162   11.709     0.153   -0.169    1.116    -0.068    0.334   -0.863
   0.630    7.456   12.707     0.106   -0.151    1.043    -0.068    0.334   -0.863
   0.693    7.715   13.716     0.096   -0.130    1.015    -0.080    0.334   -0.874
   0.645    8.087   14.678     0.057   -0.118    0.948    -0.080    0.334   -0.874
   0.461    8.464   15.857     0.082   -0.161    0.887    -0.080    0.334   -0.874
   0.240    8.894   17.265     0.142   -0.182    0.985    -0.080    0.334   -0.874
   0.179    9.338   19.022     0.187   -0.185    0.934    -0.080    0.334   -0.874
   0.248    9.811   20.989     0.155   -0.191    0.872    -0.105    0.306   -0.908
   0.324   10.526   22.386     0.099   -0.091    1.048    -0.105    0.306   -0.908
   0.213   11.218   23.941     0.117   -0.062    0.975    -0.105    0.306   -0.908
   0.220   11.719   25.617     0.135   -0.074    0.908    -0.105    0.306   -0.908
   0.134   12.176   27.357     0.208   -0.110    0.811    -0.105    0.306   -0.908
   0.307   13.196   28.758     0.110    0.030    1.075    -0.105    0.233   -0.924
   0.630   13.976   30.287     0.079   -0.084    1.120    -0.105    0.233   -0.924
   0.717   14.639   31.922     0.165   -0.082    0.909    -0.105    0.233   -0.924
   0.853   15.588   32.818     0.102   -0.009    1.189    -0.105    0.233   -0.924
   1.160   16.372   34.088     0.139   -0.121    0.993    -0.105    0.233   -0.924
   1.372   17.081   35.132     0.157   -0.016    1.098    -0.122    0.182   -0.978
   1.214   17.522   36.815     0.250   -0.041    1.043    -0.122    0.182   -0.978
   1.569   17.850   38.366     0.234   -0.061    0.980    -0.122    0.182   -0.978
   2.228   18.480   40.513     0.162    0.034    0.953    -0.122    0.182   -0.978
   2.708   19.267   41.282     0.075   -0.015    1.136    -0.122    0.182   -0.978
   2.889   20.071   42.258     0.171    0.058    1.184    -0.162    0.180   -1.030
   2.985   20.525   43.526     0.276   -0.037    1.045    -0.162    0.180   -1.030
   3.614   21.071   45.193     0.234   -0.101    0.998    -0.162    0.180   -1.030
   4.667   22.134   46.231     0.120    0.027    0.984    -0.162    0.180   -1.030
   5.330   22.806   46.588     0.037    0.069    1.075    -0.234    0.216   -1.074
   5.369   21.669   47.242     0.191   -0.180    0.838    -0.234    0.216   -1.074
   6.510   22.600   47.339     0.055   -0.142    0.778    -0.234    0.216   -1.074
   7.372   23.995   47.779    -0.094    0.024    0.881    -0.234    0.216   -1.074
   8.255   25.581   48.183     0.017   -0.078    1.061    -0.234    0.216   -1.074
   9.095   27.111   48.778     0.044   -0.055    1.128    -0.302    0.221   -1.103
   9.907   28.317   49.405    -0.035   -0.083    1.032    -0.302    0.221   -1.103
  10.887   29.431   49.922     0.108   -0.218    0.889    -0.302    0.221   -1.103
  12.138   30.912   51.036     0.020   -0.112    1.061    -0.302    0.221   -1.103
  13.271   32.309   51.940    -0.049   -0.124    1.016    -0.302    0.221   -1.103
  14.308   33.516   52.632    -0.054   -0.163    0.814    -0.290    0.200   -1.101
  15.410   34.709   53.702    -0.118   -0.128    0.840    -0.290    0.200   -1.101
  16.307   35.842   54.828    -0.158   -0.112    0.930    -0.290    0.200   -1.101
  16.724   36.932   55.499    -0.160   -0.100    1.054    -0.290    0.200   -1.101
  16.802   37.898   55.957    -0.156   -0.117    0.991    -0.290    0.200   -1.101
  16.720   39.111   56.192    -0.219   -0.065    1.052    -0.266    0.172   -1.061
  16.464   40.286   56.525    -0.220   -0.099    0.893    -0.266    0.172   -1.061
  16.531   41.804   57.393    -0.102   -0.080    0.942    -0.266    0.172   -1.061
  16.883   43.495   58.205    -0.005   -0.000    0.913    -0.266    0.172   -1.061
  17.268   45.292   58.214     0.155   -0.155    0.936    -0.266    0.172   -1.061
  17.816   46.363   60.278     0.195    0.058    1.160    -0.250    0.175   -0.995
  16.736   46.389   59.223     0.452   -0.288    0.424    -0.250    0.175   -0.995
  19.422   48.522   62.355     0.083    0.082    1.094    -0.250    0.175   -0.995
  21.076   49.836   64.562     0.007    0.080    1.147    -0.250    0.175   -0.995
  21.464   50.187   66.954     0.369   -0.046    1.090    -0.250    0.175   -0.995
  21.165   49.891   68.968     0.685    0.021    1.057    -0.232    0.174   -0.914
  22.108   49.465   71.906     0.591   -0.034    0.454    -0.232    0.174   -0.914
  27.617   48.729   77.971     0.270   -0.111    0.807    -0.232    0.174   -0.914
  29.953   48.140   79.678    -0.003    0.148    1.626    -0.232    0.174   -0.914
  30.980   47.442   82.481     0.425   -0.061    1.143    -0.232    0.174   -0.914
  30.922   46.455   85.091     0.517   -0.009    0.882    -0.172    0.178   -0.864
  33.639   44.956   89.651     0.334    0.010    1.042    -0.172    0.178   -0.864
  36.173   44.065   93.591     0.260   -0.017    1.097    -0.172    0.178   -0.864
  37.687   43.076   96.987     0.367   -0.010    1.097    -0.172    0.178   -0.864
  38.595   42.115  100.363     0.370   -0.090    1.019    -0.172    0.178   -0.864
  39.804   41.367  103.682     0.307   -0.018    0.978    -0.144    0.155   -0.843
  41.917   41.387  107.135     0.209    0.032    1.089    -0.144    0.155   -0.843
  43.793   41.451  110.467     0.225    0.054    0.991    -0.144    0.155   -0.843
  45.600   41.376  113.658     0.237    0.095    1.084    -0.144    0.155   -0.843
  46.670   41.004  116.560     0.262    0.083    1.016    -0.141    0.124   -0.839
  47.934   40.800  119.806     0.220    0.128    0.960    -0.141    0.124   -0.839
  48.839   40.327  123.002     0.273    0.102    0.950    -0.141    0.124   -0.839
  49.592   39.790  126.129     0.306    0.127    0.957    -0.141    0.124   -0.839
  50.681   39.331  129.129     0.257    0.189    0.993    -0.141    0.124   -0.839
  51.661   38.889  131.785     0.234    0.172    0.976    -0.160    0.058   -0.865
  52.880   38.284  134.490     0.229    0.156    0.980    -0.160    0.058   -0.865
  54.411   37.739  137.093     0.194    0.153    1.024    -0.160    0.058   -0.865
  56.197   37.313  139.280     0.139    0.066    0.893    -0.160    0.058   -0.865
  57.938   36.795  141.629     0.162    0.138    0.963    -0.160    0.058   -0.865
  60.108   36.657  143.509     0.103    0.129    1.007    -0.173    0.023   -0.869
  61.707   36.500  145.192     0.112    0.119    0.850    -0.173    0.023   -0.869
  63.763   36.441  146.845     0.073    0.107    0.989    -0.173    0.023   -0.869
  65.571   36.065  148.693     0.122    0.142    1.019    -0.173    0.023   -0.869
  67.332   35.693  150.594     0.125    0.119    0.977    -0.173    0.023   -0.869
  69.665   35.817  151.894     0.087    0.122    1.127    -0.205    0.006   -0.890
  71.351   35.549  153.135     0.172    0.147    1.015    -0.205    0.006   -0.890
  73.050   35.169  154.659     0.145    0.157    1.095    -0.205    0.006   -0.890
