   -710     254   -2897      901    -776    3021     -461     -23    -226
   -704     294   -2883      635    -755    4818     -438      35    -343
   -704     294   -2883      -45    -117    5335      301     -92     -52
   -704     294   -2883      356     -22    5647      727    -460     232
   -704     294   -2883      853    -422    3311     1040    -624     509
   -783     194   -2821     1203    -564     540      810     128     244
   -783     194   -2821      806    -202     991     -746     864      51
   -783     194   -2821      245   -1179    4709    -1927    1403     -31
   -783     194   -2821      210   -1707    8515    -1086     454    -261
   -504     441   -2865     -215    -742    6717      825    -536     -74
   -504     441   -2865      216    -462    4389     1512   -1058     -31
   -504     441   -2865      495    -139     942     1126    -602      18
   -504     441   -2865      984    -978    -507     -633     620    -212
   -658     155   -2857      959   -1958    4295    -1257    1107    -636
   -658     155   -2857    -1754      79    8765      -76     392    -472
   -658     155   -2857    -1576    1278    7072     1166    -209     356
   -658     155   -2857      404    -254    1316     1145    -310     646
   -487     167   -2874     1183    -888     401     -781     502     361
   -487     167   -2874     1772   -2389    4279    -1286     434    -184
   -487     167   -2874      173   -1047    7383      -62    -528    -487
   -487     167   -2874     -978     260    5145      536    -512     120
   -437     307   -2885     1145   -1398    2337      490    -384     310
   -437     307   -2885     1185   -1457    2957     -703    -226    -267
   -437     307   -2885      158    -804    5881     -379    -305    -458
   -437     307   -2885     -164     166    4519      644    -325      94
   -507     344   -2912       98     122    2667      653    -330     143
   -507     344   -2912     -225     -76    3674     -335     152     210
   -507     344   -2912      513   -1231    5190        7    -118     158
   -507     344   -2912      641    -631    3571      673    -344     133
   -541     268   -2896      492    -376    3189      548     -78     186
   -541     268   -2896     1017   -1384    5374      168    -264    -120
   -541     268   -2896      432    -360    4791      172    -548    -202
   -541     268   -2896     -242     344    4254      448    -443      37
   -608     142   -2967      719    -929    4238      467    -588     155
   -608     142   -2967     1059    -839    3631     -168    -745     -74
   -608     142   -2967     1317   -1373    2819      -23    -384    -232
   -608     142   -2967      626    -972    4443     -208    -127    -440
   -751     112   -2913    -1171    1493    7307      -79    -629    -159
   -751     112   -2913      -15     714    4053      718    -879     584
   -751     112   -2913     1523   -1039     350      435    -169     610
   -751     112   -2913     2472   -2091    2074     -766     441    -135
   -898      24   -2848     1239    -945    4565     -260     502    -498
   -898      24   -2848     -327     583    3850      432     543      19
   -898      24   -2848      -21     123    4928      413     551     163
   -898      24   -2848      245     -20    6450      147    -183      57
   -693      49   -2882     1171    -843    3229      317    -172       9
   -693      49   -2882      455    -243    2234      205       2       7
   -693      49   -2882     2073   -2047    2015     -471     451    -190
   -693      49   -2882     -446     374    5949     -597     363    -530
   -590      79   -2893    -1295    1695    9122      208    -642     347
   -590      79   -2893      226     174    5312      897   -1583     873
   -590      79   -2893     1649   -1835    -820      644   -1025     450
   -590      79   -2893     2056   -2350    -652     -490     942     -64
   -787     -40   -2851      299   -1608    5775     -772    1767    -713
   -787     -40   -2851    -1456    1938   11038      181    -503     -55
   -787     -40   -2851     -260    1148    5450     1055   -1755     513
   -787     -40   -2851     1296   -1156    -912      440    -563     545
   -752     -99   -2877     1517   -1777    -382     -382     618     145
   -752     -99   -2877     -387    -229    2406     -832    2123      75
   -752     -99   -2877     -375    -187   11387     -194     737      79
   -752     -99   -2877     -249     649    6821      879   -1113     479
   -476      -9   -2896     1575   -1269   -1546      418    -331     518
   -476      -9   -2896     2699   -2693    -108     -589    1640    -129
   -476      -9   -2896      958   -1517    7916     -749    1128    -597
   -476      -9   -2896    -1343    1513   10141      649   -1386     -95
   -286      74   -2907     -101     323    2670     1321   -2463     224
   -286      74   -2907     1026   -1052   -1585      302    -546      38
   -286      74   -2907     1504   -1805    4710    -1027    1232    -431
   -286      74   -2907     -894    2213   11340      494   -1844    -365
   -571     -60   -2858      305    1177    4412     1205   -3009     371
   -571     -60   -2858     1580   -1916   -3947      320   -1242     200
   -571     -60   -2858     2807   -3562   -3885     -488    2420    -386
   -571     -60   -2858     1754     123   17371    -1857    1173    -961
   -700      13   -2875      484    1658    9378     1533   -3495     158
   -700      13   -2875      918   -1076   -3187     1464   -3481      45
   -700      13   -2875     1129   -2225   -4291     -124    -417    -124
   -700      13   -2875      466     755   15683    -1534    1036    -662
  -1193     -24   -2822      501     549    6470     1223   -1314     184
  -1193     -24   -2822     -554    -350   -2847      535    -686     498
  -1193     -24   -2822     2673   -3145   -2197    -1272    1078     196
  -1193     -24   -2822     1293    -247   14436     -976     614    -772
  -1082     121   -2798      585    1547    8820     1336   -1589     125
  -1082     121   -2798     1398   -1126   -1096      165    -793      26
  -1082     121   -2798     2779   -2611   -3699     1752    -946    -161
  -1082     121   -2798     1534   -1913    8250    -2235    2174    -317
  -1324      10   -2703     -756    1760   12340      819   -1371     118
  -1324      10   -2703      881    -197     855      392    -785     604
  -1324      10   -2703     4588   -3694   -3869     -192     922      75
  -1324      10   -2703     2055   -2070    3085     -999    1622    -998
  -1374      56   -2677    -2717    3437   15393      217    -748      85
  -1374      56   -2677      834     314    4533     1711   -2090     798
  -1374      56   -2677    -1180   -1524   -3693     1288    -598    1065
  -1374      56   -2677     3529   -4056    -925    -1622    2852    -456
  -1402      16   -2688     -206   -1461   12250    -1548    1351    -907
  -1402      16   -2688    -1500    1256   11285      724   -1060     286
  -1402      16   -2688     1356    -448    -332      642   -1193     507
  -1402      16   -2688     1731    -664   -4169     -298     696     233
  -1275     123   -2713     1323   -1690    2124    -1532    2203    -252
  -1275     123   -2713       84   -2072    9536     -648    1232    -487
  -1275     123   -2713      -50   -1068    9101      489     -83      65
  -1275     123   -2713     3385   -2722     211     1191    -746    -229
   -910     277   -2799     1814   -1233    -552      750    -446   -1027
   -910     277   -2799     -250     988    1125     -134     858    -811
   -910     277   -2799    -1431     657    5108    -1203    1614    -280
   -910     277   -2799    -1949    -239   13278     -198    -246    -198
   -766     298   -2895     1704   -1400    6279     1056   -1143     422
   -766     298   -2895     3494   -1787   -1965      854   -1057      61
   -766     298   -2895      994    -318   -2029      206     825    -457
