   0.000   -0.001    0.000     0.444   -0.116    0.222    -0.585   -0.062   -0.773
   0.086   -0.422    0.092     0.426   -0.142   -0.003    -0.598   -0.076   -0.756
   0.308   -0.317    0.407     0.569   -0.030   -0.309    -0.598   -0.076   -0.756
   0.723    1.830    0.917     0.975   -0.065    0.282    -0.598   -0.076   -0.756
   0.533    3.066    1.627     0.936   -0.037    1.455    -0.598   -0.076   -0.756
   1.501    4.176    2.169     0.690    0.129    0.983    -0.598   -0.076   -0.756
   2.470    4.345    2.099     0.518   -0.230    0.332    -0.630   -0.111   -0.703
   3.051    6.484    2.446     0.597   -0.375    0.967    -0.630   -0.111   -0.703
   3.170    6.518    3.225     0.642   -0.013    1.613    -0.630   -0.111   -0.703
   3.575    4.921    3.323     0.427    0.288    1.220    -0.630   -0.111   -0.703
   4.546    4.114    3.067     0.390   -0.076    0.005    -0.630   -0.111   -0.703
   5.263    5.417    2.904     0.531   -0.256   -0.368    -0.731   -0.114   -0.618
   5.926    9.187    2.435     0.807   -0.410    0.591    -0.731   -0.114   -0.618
   5.951   11.637    2.803     0.881   -0.283    1.782    -0.731   -0.114   -0.618
   6.063   11.713    2.989     0.707    0.112    1.428    -0.731   -0.114   -0.618
   6.306   13.065    2.381     0.639    0.091    0.616    -0.731   -0.114   -0.618
   6.987   14.213    1.295     0.715   -0.020    0.678    -0.712   -0.131   -0.623
   7.555   15.324    0.637     0.813   -0.166    0.959    -0.712   -0.131   -0.623
   8.213   14.241   -0.522     0.679   -0.091    0.377    -0.712   -0.131   -0.623
   8.678   13.819   -1.026     0.599   -0.161   -0.150    -0.712   -0.131   -0.623
   9.375   15.911   -2.082     0.577   -0.172    0.399    -0.712   -0.131   -0.623
   9.463   18.615   -2.089     0.640   -0.128    0.843    -0.801   -0.096   -0.526
   9.860   21.206   -2.383     0.561   -0.128    0.538    -0.801   -0.096   -0.526
  10.009   22.441   -3.184     0.452    0.112   -0.257    -0.801   -0.096   -0.526
  10.656   26.077   -4.349     0.582   -0.142   -0.431    -0.801   -0.096   -0.526
   9.693   31.158   -4.421     0.659   -0.546    1.524    -0.801   -0.096   -0.526
   8.981   32.655   -3.273     0.744   -0.117    2.404    -0.718   -0.105   -0.608
   9.286   31.518   -3.089     0.752    0.432    1.012    -0.718   -0.105   -0.608
  10.313   30.503   -3.608     1.000    0.165    0.404    -0.718   -0.105   -0.608
  11.530   29.747   -4.357     1.015   -0.089    0.368    -0.718   -0.105   -0.608
  12.917   29.339   -4.634     0.853   -0.353   -0.454    -0.718   -0.105   -0.608
  13.550   31.865   -5.852     0.760   -0.577    0.350    -0.787   -0.112   -0.493
  12.923   32.958   -6.448     0.753   -0.314    1.654    -0.787   -0.112   -0.493
  12.282   34.299   -6.249     0.558    0.263    0.834    -0.787   -0.112   -0.493
  12.442   34.547   -6.385     0.548    0.003   -0.251    -0.787   -0.112   -0.493
  12.102   36.948   -7.166     0.577   -0.111   -1.173    -0.787   -0.112   -0.493
  10.991   42.025   -9.002     0.447    0.277   -1.331    -0.805   -0.106   -0.480
   8.813   51.200  -11.334     0.196   -0.156    0.324    -0.805   -0.106   -0.480
   6.018   58.846  -13.849     0.151   -0.897    2.489    -0.805   -0.106   -0.480
   4.259   62.453  -14.916     0.385    0.091    1.403    -0.805   -0.106   -0.480
   1.435   66.859  -16.387     0.503    0.254    0.485    -0.805   -0.106   -0.480
 178.811  110.012  159.630     0.741   -0.005    0.107    -0.545   -0.104   -0.735
 173.182  105.680  152.541     0.766   -0.177   -0.152    -0.545   -0.104   -0.735
 157.799  100.975  137.620     0.270   -0.247    1.260    -0.545   -0.104   -0.735
 140.330   98.773  121.216    -0.382    0.113    2.993    -0.545   -0.104   -0.735
 139.047   98.185  120.405     0.118    0.283    1.975    -0.353   -0.127   -0.829
 142.612   98.395  123.175     0.500    0.093    0.675    -0.353   -0.127   -0.829
 139.517   97.455  119.057     0.689   -0.220    0.003    -0.353   -0.127   -0.829
 116.607   96.601   94.476     0.681   -0.490    0.188    -0.353   -0.127   -0.829
  86.826   97.733   63.952     0.450   -0.219    0.174    -0.353   -0.127   -0.829
  59.324  102.512   35.976     0.155   -0.038    0.925    -0.321   -0.121   -0.865
  51.658  105.931   29.071    -0.324   -0.121    2.123    -0.321   -0.121   -0.865
  48.516  107.797   26.567    -0.143    0.125    1.529    -0.321   -0.121   -0.865
  41.524  111.120   20.486     0.213    0.109    0.748    -0.321   -0.121   -0.865
  38.608  113.799   17.635     0.376    0.150    0.470    -0.321   -0.121   -0.865
  37.177  118.068   14.058     0.562   -0.270    0.418    -0.178   -0.150   -0.890
  35.837  122.669   12.049     0.259   -0.542    1.338    -0.178   -0.150   -0.890
  35.838  125.242   11.636    -0.297   -0.213    2.165    -0.178   -0.150   -0.890
  35.936  125.926   11.922     0.082   -0.000    1.513    -0.178   -0.150   -0.890
  36.048  126.687   11.906     0.434    0.035    0.142    -0.178   -0.150   -0.890
