   0.000   -0.000   -0.000    -0.072   -0.058    1.030     0.050   -0.107   -0.944
   0.478   -0.065   -0.384    -0.124   -0.000    1.002     0.050   -0.107   -0.944
   1.765   -0.309   -1.604    -0.156   -0.116    1.026     0.050   -0.107   -0.944
   3.329   -0.874   -2.827    -0.093   -0.344    0.830     0.050   -0.107   -0.944
   4.519   -1.277   -3.169    -0.084   -0.356    0.826     0.050   -0.107   -0.944
   5.493   -1.507   -2.998    -0.075   -0.375    0.711     0.050   -0.107   -0.944
   6.386   -1.694   -2.507    -0.137   -0.378    0.871     0.122    0.059   -1.099
   7.705   -1.865   -3.588    -0.173   -0.520    0.921     0.122    0.059   -1.099
   8.221   -1.452   -4.112    -0.179   -0.766    1.122     0.122    0.059   -1.099
   8.383   -1.191   -3.834    -0.164   -0.679    1.134     0.122    0.059   -1.099
   8.617   -1.783   -2.704    -0.215   -0.559    1.102     0.122    0.059   -1.099
   8.599   -1.884   -1.726    -0.269   -0.620    1.235     0.242    0.023   -1.205
   8.331   -2.022   -0.235    -0.182   -0.753    1.237     0.242    0.023   -1.205
   7.579   -2.405    1.657    -0.157   -0.640    1.135     0.242    0.023   -1.205
   6.414   -3.430    4.194    -0.161   -0.418    1.164     0.242    0.023   -1.205
   4.990   -4.462    6.937    -0.186   -0.431    1.199     0.242    0.023   -1.205
   3.239   -5.644   10.076    -0.125   -0.377    1.080     0.197   -0.089   -1.143
   1.413   -6.743   13.295    -0.181   -0.269    1.145     0.197   -0.089   -1.143
 179.343 -172.244 -163.141    -0.143   -0.256    0.996     0.197   -0.089   -1.143
 177.064 -171.273 -159.537    -0.120   -0.177    0.946     0.197   -0.089   -1.143
 174.707 -170.522 -156.385    -0.138   -0.081    0.864     0.197   -0.089   -1.143
 172.307 -169.908 -153.851    -0.093   -0.034    0.870     0.056   -0.214   -0.952
 169.871 -169.557 -151.731    -0.105    0.057    0.922     0.056   -0.214   -0.952
 167.369 -169.471 -149.819    -0.115    0.157    0.997     0.056   -0.214   -0.952
