   1891   -2555    3325      392    3274   -2455       44    -107     -78
   1914   -2524    3376      378    3246   -2456       41     -99     -82
   1914   -2524    3376      323    3216   -2421       64     -92     -75
   1914   -2524    3376      399    3202   -2450       70    -109     -80
   1914   -2524    3376      353    3203   -2455       49     -83     -68
   1910   -2546    3379      322    3222   -2461       39     -95     -76
   1910   -2546    3379      356    3181   -2426       20     -51     -49
   1910   -2546    3379      368    3228   -2502       64    -103     -63
   1910   -2546    3379      364    3244   -2474       34     -72     -64
   1901   -2568    3410      360    3252   -2440       26     -88     -78
   1901   -2568    3410      289    3201   -2439       34     -66     -56
   1901   -2568    3410      386    3230   -2419       63    -100     -76
   1901   -2568    3410      345    3217   -2428       34     -96     -70
   1904   -2553    3357      341    3166   -2444       34     -57     -53
   1904   -2553    3357      390    3151   -2480       32     -64     -69
   1904   -2553    3357      372    3220   -2484       61     -88     -76
   1904   -2553    3357      345    3233   -2400       24     -92     -66
   1884   -2557    3373      310    3217   -2444       35     -50     -45
   1884   -2557    3373      310    3171   -2513       26     -61     -63
   1884   -2557    3373      369    3239   -2427       44     -68     -72
   1884   -2557    3373      351    3233   -2433       32     -73     -58
   1906   -2560    3359      331    3192   -2423       80     -72     -64
   1906   -2560    3359      359    3205   -2392       42     -62     -75
   1906   -2560    3359      359    3249   -2463       40     -57     -57
   1906   -2560    3359      348    3232   -2433       44     -80     -81
   1906   -2557    3348      415    3229   -2503       64    -103     -79
   1906   -2557    3348      327    3215   -2412       34     -61     -64
   1906   -2557    3348      330    3196   -2448       24     -92     -73
   1906   -2557    3348      329    3215   -2464       67    -104     -83
   1899   -2558    3354      351    3170   -2474       54     -88     -69
   1899   -2558    3354      368    3236   -2472       47     -76     -70
   1899   -2558    3354      313    3169   -2421       76     -85     -65
   1899   -2558    3354      316    3202   -2429       46     -89     -69
   1910   -2547    3410      388    3240   -2452       61    -109     -77
   1910   -2547    3410      390    3236   -2431       52     -73     -70
   1910   -2547    3410      361    3191   -2408       24     -89     -73
   1910   -2547    3410      374    3228   -2431       42     -80     -68
   1887   -2528    3365      345    3251   -2422       58     -89     -71
   1887   -2528    3365      363    3221   -2409       65    -105     -60
   1887   -2528    3365      389    3209   -2396       63    -103     -77
   1887   -2528    3365      346    3172   -2474       72    -112     -83
   1901   -2520    3394      345    3241   -2444       91    -134     -70
   1901   -2520    3394      373    3207   -2434       53     -84     -77
   1901   -2520    3394      378    3240   -2468       36     -64     -60
   1901   -2520    3394      319    3242   -2380       58     -83     -73
   1892   -2569    3381      365    3208   -2407       50     -79     -72
   1892   -2569    3381      313    3245   -2449       24     -44     -62
   1892   -2569    3381      337    3187   -2390       48     -83     -64
   1892   -2569    3381      367    3223   -2483       21     -43     -48
   1880   -2504    3328      361    3231   -2413       53     -79     -66
   1880   -2504    3328      375    3221   -2486       60     -92     -80
   1880   -2504    3328      327    3210   -2394       53     -67     -52
   1880   -2504    3328      356    3186   -2435       34     -60     -52
   1908   -2544    3334      364    3206   -2420       59     -88     -60
   1908   -2544    3334      392    3224   -2425       41     -71     -57
   1908   -2544    3334      376    3258   -2447       45     -94     -79
   1908   -2544    3334      384    3254   -2374       32     -65     -63
   1925   -2533    3378      374    3209   -2460       42     -77     -67
   1925   -2533    3378      342    3221   -2459       63    -105     -68
   1925   -2533    3378      342    3234   -2407       49     -90     -66
   1925   -2533    3378      327    3213   -2448       59    -103     -84
   1884   -2538    3406      343    3243   -2421       38     -80     -68
   1884   -2538    3406      339    3181   -2403       40     -68     -58
   1884   -2538    3406      350    3208   -2440       25     -66     -64
   1884   -2538    3406      362    3244   -2464       56    -102     -80
   1909   -2568    3409      356    3240   -2510       51    -101     -81
   1909   -2568    3409      301    3217   -2469       37     -64     -64
   1909   -2568    3409      320    3238   -2478       39     -76     -74
   1909   -2568    3409      333    3223   -2500       46    -101     -86
   1899   -2580    3406      344    3210   -2475       64    -100     -75
   1899   -2580    3406      370    3256   -2493       64     -95     -64
   1899   -2580    3406      369    3237   -2421       55     -83     -75
   1899   -2580    3406      393    3241   -2404       78     -95     -80
   1880   -2554    3408      372    3202   -2378       39     -66     -60
   1880   -2554    3408      356    3210   -2435       57     -93     -68
   1880   -2554    3408      339    3227   -2403       64     -83     -73
   1880   -2554    3408      399    3230   -2473       33     -92     -73
   1870   -2561    3386      397    3246   -2443       44     -64     -83
   1870   -2561    3386      315    3227   -2486       48     -65     -71
   1870   -2561    3386      367    3233   -2394       45     -56     -58
   1870   -2561    3386      344    3235   -2448       42     -54     -54
   1908   -2590    3381      337    3201   -2480       50     -72     -72
   1908   -2590    3381      387    3237   -2455       79    -107     -68
   1908   -2590    3381      387    3213   -2434       78    -102     -79
   1908   -2590    3381      327    4861   -1423     -816    -328     -55
   1887   -2558    3410    -1513    2260   -2066    -2726     906    2932
   1887   -2558    3410    -1559    -215   -3218     1851     369   -1692
   1887   -2558    3410     2281    5517   -3654     3286    4802   -5886
   1887   -2558    3410     1325    6419    5491      947     -41    -129
    264   -2746    2156      292    1874    -148      742   -1839     747
    264   -2746    2156     1964    1730   -2355    -1274   -1139     119
    264   -2746    2156      164    1396    -928     -233     854    -999
    264   -2746    2156      713    3763   -5899     -942     748     492
    199   -2988    2704     1197     229   -2409    -2079    1913    -746
    199   -2988    2704     1488    3872   -2347     -482    2269   -1269
    199   -2988    2704     6671    2479     830    -1525    1588     384
    199   -2988    2704      536    3994    -815    -1121    -242     885
   -769   -3305    1127     1280    4092   -3468     -935     450    1239
   -769   -3305    1127     1644    3856   -2165     -277    1030    2035
   -769   -3305    1127      943   -1054    3984    -1890     449    -698
   -769   -3305    1127     1840    2462   -2267     -385     293    1740
  -2394   -3835    -588     1476    1510   -1905     -982     879    -197
  -2394   -3835    -588     1435    2167    7078      153   -1674    -590
  -2394   -3835    -588     2713    3845   -2215     1386   -1416     -92
  -2394   -3835    -588      719    5751    1840     1938   -3119    -760
  -4295   -4557     565      689    8205    3593    -2044    2299    2494
  -4295   -4557     565     1620    3342   -1837     -560    -296    1064
  -4295   -4557     565     1507    4633   -1109      145    -590    1047
  -4295   -4557     565     2696    4814   -1018     -246    -846    1797
  -8884     514    9224     2413    4935   -1096     -518     574    2844
  -8884     514    9224     3114    6086   -1244     -789    2174    4619
  -8884     514    9224     2343    4445   -1665    -1055    3075    5185
  -8884     514    9224     2375    2573    1213     -530    3155    5169
  -1453    -323     745     1961    2949   -1565    -1594    3507    6233
  -1453    -323     745     1222   -1116    -209    -1350    2844    5671
  -1453    -323     745     3072    -548    2079     -950    1726    4178
  -1453    -323     745     2819   -1368    1897     -961    1805    4007
  -2725     636    -249     2370   -4217   -2535      214    2979    3769
  -2725     636    -249     2969   -2019    1950     -960    2384    2858
  -2725     636    -249     3355   -1203    1460    -1120    2701    2269
  -2725     636    -249     2719   -1860    2579     -778    2021    1728
  -2376    1497    -670     2753   -2400    2064     -849     725    1022
  -2376    1497    -670     2842   -2364    2416    -1090    1432     437
  -2376    1497    -670     3007   -1563    2022    -1407    1650     985
  -2376    1497    -670     2548   -3052    2516     -965    1414     892
  -2040    1805    -772     2400   -1108     -54    -1411    1110    1291
  -2040    1805    -772     2160   -2348    2646      449    2426    1375
  -2040    1805    -772     1806   -2624    2922     1151     989    1694
  -2040    1805    -772     1816   -2913    3064      227      29     906
  -1526    2016   -1048     1960   -2208    2908     -483    -134    1161
  -1526    2016   -1048     1189   -3999    3151    -1251    -653    1122
  -1526    2016   -1048      989   -4453    3647    -1552   -2029     409
  -1526    2016   -1048     1383   -3426    3889    -2331   -3618     395
  -1429    2287    -695      884   -3445    2873    -2256   -5464     660
  -1429    2287    -695      635   -2921    1450    -1144   -6249     464
  -1429    2287    -695      556   -2759    -289     -755   -6690    1118
  -1429    2287    -695     2215   -3465   -4086    -1014   -4083     335
  -1477    2483     369      780   -3602      -1     -545   -1955    -612
  -1477    2483     369     1411   -3861    -124     -608   -1548   -1082
  -1477    2483     369     1463   -4381     469     -548   -1075   -1484
  -1477    2483     369     2120   -3839     350     -544    -788   -1514
  -1622    2382     730     1455   -4153    -501     -474    -909   -1417
  -1622    2382     730     2624   -2628    -145      136     444   -1282
  -1622    2382     730     2860   -3381    1609     -487    -919    -695
  -1622    2382     730     2359   -1268     470     -674     815    -192
  -1926    2150     891     2941   -2851     113    -1627   -2913     368
  -1926    2150     891     2437   -1951   -1216     -680   -3514      43
  -1926    2150     891     1563   -2868   -1485     -726   -4003    -757
  -1926    2150     891     1297   -2582   -1774     -668   -4795    -635
  -1646    1947    1541     1077   -4173   -3512      370   -5327   -2015
  -1646    1947    1541     2316   -1872   -5594     -353   -1963   -1146
  -1646    1947    1541     2050   -2776   -2772     -712   -1589   -1490
  -1646    1947    1541     2036   -2710   -2547     -671    -967   -1410
  -1154    1610    2032     2087   -2317   -2025    -2451   -1258    -689
  -1154    1610    2032     2429   -2049   -2035    -1540    -496    -811
  -1154    1610    2032     2405   -1906   -3649    -1462    -207    -625
  -1154    1610    2333     1771    -761   -3324    -1752     407    -206
  -1010    1028    2333     1634   -1806   -2203    -1397    -220   -1238
  -1010    1028    2333     1674    -938   -4715    -1165    -520   -1268
  -1010    1028    2333     1803   -3327   -1678     -156   -2150   -1160
  -1010     516    2441     4462    -650   -4049     -768   -5058   -1516
   -805     522    2441     1064    -910   -3049    -1851   -3043   -1504
   -805     522    2441      285     267   -3793     -597   -5429    -585
   -805     522    2441      252    -832   -4674     -670   -3187     704
    475     -88    2196    -1059     239   -4287    -2647   -2192     527
    439     -88    2196     -680    -238   -3638    -2813   -2981     -14
    439     -88    2196    -1189     474   -4698    -2202   -2790     -75
    439     -88    2196     -969     921   -2882    -2134   -2268      -3
    870    -748    1277    -1747     902   -3634    -2500   -2122      78
    870    -748    1277    -2103    1325   -2221    -2429   -2132     -15
    870    -748    1277    -2089    1641   -3567    -2472   -2593     211
    870    -748    1277    -2027    1759   -4141    -1032   -1082     567
    606    -965     406    -2707    2781   -3397     -940    -286     490
    606    -965     406    -2593    2329   -3488    -1759     179     276
    606    -965     406    -2588    2720   -4400    -1224    1238     400
    606    -965     406    -1969    2405   -3611     -572    1947     874
    525   -1081     377    -1533    2564   -3519       74    3187     751
    525   -1081     377    -2895    7367    -728     -197    5611     142
    525   -1081     377    -1925    1645   -2236      384    5435    -544
    525   -1081     377     -911     942     465     1001    3957    -944
    691   -1206    1358      173    1933   -3695      697    -180   -1361
    691   -1206    1358     1296    2814   -2485      276    -142    -916
    691   -1206    1358     -465    1981   -3276     -236     421    -350
    691   -1206    1358      545    2463   -3954     -561     343     137
    766   -1148    1411      380    3450   -3713     -494     925     988
    766   -1148    1411      795    1885   -1927    -1809     215    1118
    766   -1148    1411       43    5069   -3094    -2037    3469    1327
    766   -1148    1411     2832    1813   -1962    -1074    1411    2328
    241   -1530    1568      889    4873    -602     1167    4518    2262
    241   -1530    1568     1513    3217   -3635      733    5225    3574
    241   -1530    1568     1304    2478   -2219      979    3796    3857
    241   -1530    1568     2762    2747   -2290      870    2251    4201
  -1699    -875    1931     3267    2309   -2534     1241    1246    4437
  -1699    -875    1931     2813    1755   -2104     1736     934    4842
  -1699    -875    1931     2464      66   -1659     1576     615    4324
  -1699    -875    1931     3286    -621   -1249     1427     131    3933
  -2240     494    1764     3114   -1042   -1624     1370     -36    4543
  -2240     494    1764     2369   -1265   -1162     1335    -342    4400
  -2240     494    1764     2176   -1073   -1379      815    -300    3889
  -2240     494    1764     2777   -1797   -1660     1067    -557    3938
  -1917    1605    1544     1777   -2305   -1222     1549    -468    4371
  -1917    1605    1544     1175   -3029   -1735     1602    -337    3189
  -1917    1605    1544     1698   -3215   -1932     1468       6    2940
  -1917    1605    1544      310   -3093    -839     1892     228    3803
  -1133    2262    1196     1161   -4897    -782     1409    -743    2163
  -1133    2262    1196      593   -2811   -1262     1556    -202    2924
  -1133    2262    1196     -665   -4731   -1126     1562      40    2613
  -1133    2262    1196     -457   -4419     -37     1547    -112    1563
   -430    2405     706     -546   -4822    -123     1259    -187    1245
   -430    2405     706     -715   -5539      65     1123     -55     965
   -430    2405     706     -952   -5694     362      622    -261     371
   -430    2405     706     -678   -3440      38      464    -705     565
   -213    2371     523     -374   -4676    -192      748    -615     772
   -213    2371     523     -462   -4222     578      818    -593     470
   -213    2371     523     -424   -4242     -52     -158    -804    -245
   -213    2371     523     -534   -3348     -35      252    -507      74
   -127    2401     370     -547   -4163     166       53    -393     -62
   -127    2401     370      111   -4453     395      173   -1073    -277
   -127    2401     370      -60   -4020    -160      181    -551     479
   -127    2401     370     -896   -4276     983      199    -827     491
    -41    2354     310     -719   -3928      23     -460    -607     592
    -41    2354     310     -3
