    235    -109     -94      121    3377   -2250       48     -59     -65
    277    -125    -127      106    3340   -2212       47     -74     -70
    277    -125    -127       43    3361   -2100       36     -54     -60
    277    -125    -127       68    3354   -2211       51     -84     -48
    277    -125    -127      141    3329   -2330       43     -77     -62
    261    -148    -128       96    3364   -2252       31     -60     -75
    261    -148    -128       61    3343   -2301       18     -36     -44
    261    -148    -128      105    3323   -2250       67     -90     -82
    261    -148    -128      101    3341   -2323       38     -67     -60
    261    -148    -128      117    3335   -2535       45     -59     -56
    256    -126    -151       92    3370   -2318       57     -97     -77
    256    -126    -151      117    3379   -2328       72     -78     -64
    256    -126    -151       77    3363   -2343       40     -71     -86
    256    -126    -151       94    3360   -2273       48     -82     -75
    259     -92     -99       92    3344   -2214       61     -93     -58
    259     -92     -99      108    3377   -2195       34     -52     -59
    259     -92     -99       68    3332   -2267       59     -75     -61
    259     -92     -99      114    3360   -2297       70    -107     -91
    267    -118    -118       67    3321   -2351       59    -121     -90
    267    -118    -118      110    3331   -2274       59     -83     -71
    267    -118    -118      107    3387   -2337       47     -95     -75
    267    -118    -118       43    3367   -2252       57     -86     -60
    260    -116    -182       69    3345   -2322       42     -68     -54
    260    -116    -182      116    3398   -2365       69    -101     -85
    260    -116    -182      101    3308   -2276       31     -52     -51
    260    -116    -182       66    3364   -2373       34     -86     -74
    260    -116    -182      106    3311   -2226       66    -109     -82
    272    -124     -95       98    3346   -2246       47     -90     -75
    272    -124     -95      133    3413   -2275       69     -98     -79
    272    -124     -95      117    3323   -2336       59     -83     -83
    272    -124     -95      138    3366   -2284       32     -67     -61
    246    -119    -145       46    3301   -2353       65    -105     -72
    246    -119    -145       59    3347   -2490       36     -63     -62
    246    -119    -145      127    3345   -2272       57     -90     -68
    246    -119    -145       94    3092   -2325       49     -80     -63
    250    -138    -146      112    3366   -2294       37     -82     -58
    250    -138    -146      119    3339   -2278       35     -63     -64
    250    -138    -146       88    3352   -2302       39     -69     -68
    250    -138    -146      125    3575   -2247       56     -98     -77
    219    -138     -38       77    3343   -2209       48     -85     -71
    219    -138     -38      118    3337   -2063       66    -106     -65
    219    -138     -38       93    3345   -2286       40     -74     -63
    219    -138     -38       89    3301   -2259       81     -71     -65
    243    -158    -107       95    3362   -2300       30     -82     -72
    243    -158    -107       81    3363   -2285       45     -77     -79
    243    -158    -107      107    3337   -2299       73    -114     -75
    243    -158    -107      108    3312   -2266       44     -57     -56
    236    -115    -148       34    3376   -2315       59    -104     -81
    236    -115    -148      119    3362   -2276       54     -94     -71
    236    -115    -148       93    3345   -2252       49     -83     -61
    236    -115    -148      105    3359   -2273       50     -89     -72
    252    -107     -80       96    3329   -2278       42     -91     -65
    252    -107     -80       88    3390   -2263       52     -91     -77
    252    -107     -80       98    3366   -2319       39     -78     -73
    252    -107     -80      115    3371   -2236       53    -108     -76
    217    -127    -141       54    3327   -2306       44     -76     -63
    217    -127    -141       87    3347   -2294       42     -80     -65
    217    -127    -141       85    3368   -2262       60    -105     -84
    217    -127    -141       67    3339   -2545       61     -79     -75
    267    -130    -131      102    3338   -2265       32     -68     -60
    267    -130    -131       70    3110   -2258       66     -69     -64
    267    -130    -131       82    3363   -2328       53     -90     -75
    267    -130    -131      123    3335   -2335       56     -92     -73
    250    -126    -123       62    3358   -2270       51     -76     -70
    250    -126    -123       46    3362   -2289       32     -65     -68
    250    -126    -123       78    3353   -2282       56     -96     -74
    250    -126    -123       92    3346   -2232       16     -50     -55
    269    -128    -102       55    3311   -2322       32     -51     -62
    269    -128    -102       95    3323   -2316       31     -50     -54
    269    -128    -102      106    3340   -2276       39     -71     -60
    269    -128    -102       61    3358   -2278       74     -96     -65
    240    -129    -106      102    3356   -2507       32     -66     -65
    240    -129    -106      118    3392   -2268       52     -83     -70
    240    -129    -106       89    3343   -2297       34     -66     -62
    240    -129    -106       83    3367   -2307       50     -90     -63
    237     -97    -133       81    3319   -2235       50     -71     -61
    237     -97    -133      136    3338   -2291       46     -86     -70
    237     -97    -133       95    3355   -2237       46     -61     -53
    237     -97    -133       73    3329   -2261       62     -73     -59
    211     -56    -109       90    3355   -2254       47     -78     -66
    211     -56    -109       82    3338   -2316       43     -70     -62
    211     -56    -109      120    3346   -2276       59     -93     -77
    211     -56    -109       92    3363   -2219       49    -105     -80
    181     -91    -111      130    3332   -2331       39     -70     -70
    181     -91    -111      108    3338   -2201       55     -92     -76
    181     -91    -111       46    3362   -2281       35     -82     -70
    181     -91    -111       95    3359   -2291       52    -112     -88
    245    -103    -170      108    3341   -2281       44     -79     -59
    245    -103    -170       62    3348   -2270       45     -79     -70
    245    -103    -170       96    3332   -2307       55     -90     -78
    245    -103    -170       96    3361   -2294       50     -99     -74
    272    -134    -178      129    3349   -2098       56     -93     -67
    272    -134    -178       63    3367   -2303       49     -75     -78
    272    -134    -178       82    3362   -2295       49     -95     -75
    272    -134    -178      119    3356   -2223       37     -60     -59
    229    -139    -106       79    3374   -2304       56     -93     -69
    229    -139    -106       80    3326   -2293       41     -82     -72
    229    -139    -106       68    3100   -2298       61     -84     -66
